Tên cây,Loại bệnh,Nguyên nhân,Triệu chứng,Cách điều trị
Chôm chôm,Thối trái,Thường gặp ở những quả chôm chôm sắp chín hoặc đã già.,"Xuất hiện những đốm nâu đen, lớn dần và ăn sâu vào thịt trái. Sau một thời gian, quả bị thối nhũn và xuất hiện mùi chua khó chịu.","Thường xuyên cắt tỉa, loại bỏ trái đã bị nhiễm bệnh để thông thoáng. Trước khi thu hoạch 1 tháng, phun phòng bệnh bằng nấm đối kháng Chaetomium, đồng sunfat cùng Aminoacid."
Chôm chôm,Cháy lá,Có thể liên quan đến mất cân đối dinh dưỡng (thiếu kali) hoặc chưa được đề cập rõ ràng trong bài viết.,"Xuất hiện ở phần lá đã trưởng thành. Phần đầu chóp lá bị cháy khô, có màu nâu hoặc nâu xám. Có đường viền màu nâu đỏ ở giữa vùng bệnh và vùng khỏe.","Bón phân cân đối, tập trung nhiều vào kali hoặc bổ sung thêm phân hữu cơ hoai mục. Phun nấm đối kháng Chaetomium kết hợp cùng Trichoderma thường xuyên để phòng bệnh."
Chôm chôm,Phấn trắng,Không được đề cập rõ ràng trong bài viết (thường là do nấm gây ra).,"Có thể xuất hiện trên hoa, trái non và lá non. Trên hoa: bị bao phủ bởi lớp nấm màu trắng xám. Trên trái non: có lớp phấn màu trắng xám phủ quanh. Trên lá non: có lớp nấm màu trắng xám bao phủ trên bề mặt, cả hai mặt lá.","Sau thu hoạch cần cắt tỉa cành già cỗi, cành mang mầm bệnh, trái khô đen để vườn thông thoáng. Để phòng bệnh, phun nấm đối kháng Chaetomium và Trichoderma vào đầu mùa mưa, lúc cây ra hoa và sau thu hoạch."
Thanh long,Thối đầu cành,"Do nấm Alternaria sp gây ra, phát sinh vào đầu mùa mưa.","Cành phía trên trụ - đặc biệt là những cành khuất gió, nằm ở phía Tây - chuyển sang màu vàng, mềm và thối nhũn. Cây phát triển chậm, thậm chí là không thể phát triển. Nếu không được điều trị kịp thời sẽ mất khả năng cho trái.","Phòng trừ tổng hợp theo hướng dẫn chung của bài viết (cắt tỉa, tưới nước, làm cỏ, thăm vườn, phun thuốc phòng trừ định kỳ, sử dụng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Thanh long,Đốm nâu,"Do nấm Gloeosporium agaves gây hại trong điều kiện độ ẩm cao, nhiều sương mù.","Thân và quả thanh long xuất hiện nhiều vết sần sùi, thối khô từng mảng. Điều này khiến chất lượng quả bị ảnh hưởng nghiêm trọng, không chỉ mất giá mà thậm chí còn không bán được.","Phòng trừ tổng hợp theo hướng dẫn chung của bài viết (cắt tỉa, tưới nước, làm cỏ, thăm vườn, phun thuốc phòng trừ định kỳ, sử dụng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Thanh long,Đốm trắng,"Do nấm Neoscytalidium dimidiatum gây ra, đặc biệt nghiêm trọng vào mùa mưa, nhiệt độ từ 30 - 35 độ C và độ ẩm cao.","Bẹ non, nụ hoa, trái non là những bộ phận dễ bị bệnh đốm trắng. Dấu hiệu ban đầu của bệnh là đốm nhỏ màu trắng, hơi lõm. Về sau, chuyển thành vết loét màu nâu, hơi lồi.","Phòng trừ tổng hợp theo hướng dẫn chung của bài viết (cắt tỉa, tưới nước, làm cỏ, thăm vườn, phun thuốc phòng trừ định kỳ, sử dụng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Thanh long,Thán thư,"Do nấm Colletotrichum gloeosporioides gây hại, thường gặp ở thời điểm cây ra cành non, thời tiết ẩm ướt, mưa nhiều.","Có thể xuất hiện trên cành, hoa và quả. Trên cành: thân thối mềm, vết thối bắt đầu từ ngọn, gai rồi ăn dần vào phần thịt và lõi cành. Trên hoa: xuất hiện những chấm màu đen li ti, sau chuyển sang quầng màu vàng, khiến hoa bị khô và rụng, giảm tỷ lệ đậu trái. Trên trái: có những đốm nhỏ màu vàng, sau chuyển sang nâu đen, thiệt hại nặng nề về chất lượng và số lượng trái.","Phòng trừ tổng hợp theo hướng dẫn chung của bài viết (cắt tỉa, tưới nước, làm cỏ, thăm vườn, phun thuốc phòng trừ định kỳ, sử dụng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Thanh long,Nám cành,"Do nấm Macssonina agaves Syd và Sphaceloma sp tấn công. Thời tiết thất thường, nắng nhiều là điều kiện thuận lợi phát sinh bệnh.","Xuất hiện những vết cháy nắng trên cành. Về sau, vết cháy nắng này có màng mỏng màu xám tro và hơi nhám. Lúc này, nấm mốc gây bệnh đã phát triển mạnh, khiến cành thanh long bị khô thối nặng nề.","Phòng trừ tổng hợp theo hướng dẫn chung của bài viết (cắt tỉa, tưới nước, làm cỏ, thăm vườn, phun thuốc phòng trừ định kỳ, sử dụng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Thanh long,Nấm bồ hóng,"Do nấm Capnodium sp gây hại, chủ yếu xuất hiện vào mùa nắng nóng, nhiệt độ cao.","Quả thanh long sẽ bị mất màu ngay tại vị trí xuất hiện vết bệnh. Nếu nhiễm bệnh nặng thì vỏ quả không được nhẵn bóng mà trở nên xù xì, vừa mất thẩm mỹ, vừa giảm giá trị thương phẩm.","Phòng trừ tổng hợp theo hướng dẫn chung của bài viết (cắt tỉa, tưới nước, làm cỏ, thăm vườn, phun thuốc phòng trừ định kỳ, sử dụng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Cà phê,Bệnh gỉ sắt,Bào tử của nấm gỉ sắt.,"Xuất hiện ở mặt dưới lá với chấm nhỏ màu vàng nhạt (giọt dầu), sau đó giữa vết bệnh xuất hiện lớp bột màu vàng cam (bào tử nấm). Vết bệnh chuyển sang màu trắng từ trung tâm, cuối cùng tạo thành vết cháy màu nâu đen. Các vết cháy có thể liên kết, cháy toàn bộ lá. Nặng có thể rụng hết lá, khô cành, năng suất kém rồi chết. Thường xuất hiện khi mùa mưa bắt đầu.","Không nêu cụ thể loại thuốc. Áp dụng các biện pháp phòng trừ chung: thường xuyên quan sát, vệ sinh vườn (dọn cỏ rác, tỉa cành), tưới nước đầy đủ vào mùa khô, bón phân và sử dụng thuốc bảo vệ thực vật (có thể dùng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Cà phê,Bệnh nấm,Nấm.,"Ban đầu là những chấm nhỏ màu trắng như bụi phấn trên quả hoặc cành, sau đó lớp phấn chuyển sang màu hồng. Nấm xuất hiện ở mặt dưới cành và cuống quả, làm cành chết khô, quả héo và rụng non. Gây hại cục bộ từng cây, làm chết từng cành, nặng hơn có thể chết cả cây. Thích hợp điều kiện độ ẩm cao, nhiều ánh sáng, thường ở tầng giữa và tầng trên của cây.","Không nêu cụ thể loại thuốc. Áp dụng các biện pháp phòng trừ chung: thường xuyên quan sát, vệ sinh vườn (dọn cỏ rác, tỉa cành), tưới nước đầy đủ vào mùa khô, bón phân và sử dụng thuốc bảo vệ thực vật (có thể dùng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Cà phê,"Bệnh khô cành, khô quả",Không được nêu rõ trong bài viết.,"Gây hại trên quả, cành, lá. Nặng trên cà phê chè, cà phê vối, làm xuất hiện triệu chứng thối đen đầu quả, rồi bị rụng non. Biểu hiện đầu tiên là vết nhỏ màu vàng hay nâu trên quả, cành, lá. Sau đó, vết bệnh lan rộng, có màu nâu sẫm và lõm sâu. Dần dần, vết bệnh lan khắp vỏ quả, cành lá khiến các bộ phận này bị đen, khô và rụng.","Không nêu cụ thể. Áp dụng các biện pháp phòng trừ chung: thường xuyên quan sát, vệ sinh vườn (dọn cỏ rác, tỉa cành), tưới nước đầy đủ vào mùa khô, bón phân và sử dụng thuốc bảo vệ thực vật (có thể dùng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Cà phê,Bệnh lở cổ rễ,"Thường phát sinh ở vườn ươm có độ ẩm cao, ít thoáng, đất trong bầu dí chặt. Trên đồng ruộng, phát sinh trong mùa mưa, ở những nơi ẩm, đất ít được xới xáo. Bệnh lây lan qua việc làm cỏ, cuốc xới, hoặc từ cây con đã bị bệnh trong vườn ươm.","Gây hại cây con trong vườn ươm hoặc cây 1-2 tuổi. Phần thân tiếp giáp với mặt đất (cổ rễ) bị thối đen và teo lại. Nếu trên cây trong thời kỳ kiến thiết, gây ra triệu chứng vàng lá, sinh trưởng chậm, một phần cổ rễ bị khuyết dần.","Không nêu cụ thể. Áp dụng các biện pháp phòng trừ chung: thường xuyên quan sát, vệ sinh vườn (dọn cỏ rác, tỉa cành), tưới nước đầy đủ vào mùa khô, bón phân và sử dụng thuốc bảo vệ thực vật (có thể dùng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Cà phê,Bệnh héo rũ,Do nấm gây ra. Lây truyền qua vết thương trên thân hoặc cành trong quá trình thực hành nông học.,"Ảnh hưởng đầu tiên đến mạch dưới vỏ cây và ngăn chặn sự vận chuyển nước và các chất dinh dưỡng. Từ đó, dẫn đến làm khô lá, cành và thân.","Không nêu cụ thể loại thuốc. Áp dụng các biện pháp phòng trừ chung: thường xuyên quan sát, vệ sinh vườn (dọn cỏ rác, tỉa cành), tưới nước đầy đủ vào mùa khô, bón phân và sử dụng thuốc bảo vệ thực vật (có thể dùng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Cà phê,Bệnh vàng lá thối rễ,"Độ ẩm quá cao, quá khô hoặc thừa, thiếu dinh dưỡng. Thời điểm tháng 7 mùa mưa là khoảng thời gian bệnh phát tác phổ biến nhất.",Lá bị vàng và rễ bị thối.,"Không nêu cụ thể. Áp dụng các biện pháp phòng trừ chung: thường xuyên quan sát, vệ sinh vườn (dọn cỏ rác, tỉa cành), tưới nước đầy đủ vào mùa khô, bón phân và sử dụng thuốc bảo vệ thực vật (có thể dùng máy bay nông nghiệp để phun thuốc hiệu quả hơn)."
Sầu riêng,Nứt thân xì mủ,Nấm Phytophthora,"Thân và gốc cây xuất hiện những vết nứt ngắn/dài, nông/sâu khác nhau. Từ những vết nứt này có nhựa, mủ chảy ra. Cây còi cọc, kém phát triển, thậm chí là chết nếu không điều trị kịp thời.","Quét thuốc lên những vị trí bị bệnh. Kết hợp các biện pháp phòng trừ chung: tỉa cành, bón phân cân đối, phun thuốc phòng trừ định kỳ."
Sầu riêng,Thán thư,"Không nêu cụ thể, thường xảy ra với những vườn chăm sóc kém.","Bắt đầu vào mùa khô. Các dấu hiệu chung của cây bị bệnh như lá có màu sắc khác lạ, xuất hiện đốm bất thường, ra hoa ít, đậu trái kém.","Không nêu cụ thể. Thực hiện các biện pháp phòng trừ chung: không trồng quá dày, tỉa cành, bón phân cân đối, phun thuốc phòng trừ định kỳ, thăm vườn thường xuyên."
Sầu riêng,Cháy lá,Nấm Rhizoctonia solani,"Gây thiệt hại nặng nề cho những vườn ươm cây sầu riêng. Các dấu hiệu chung của cây bị bệnh như lá có màu sắc khác lạ, xuất hiện đốm bất thường, ra hoa ít, đậu trái kém.","Không nêu cụ thể. Thực hiện các biện pháp phòng trừ chung: không trồng quá dày, tỉa cành, bón phân cân đối, phun thuốc phòng trừ định kỳ, thăm vườn thường xuyên."
Sầu riêng,Đốm rong đỏ,Không nêu cụ thể.,"Làm giảm khả năng quang hợp khiến cây sầu riêng sinh trưởng kém. Các dấu hiệu chung của cây bị bệnh như lá có màu sắc khác lạ, xuất hiện đốm bất thường, ra hoa ít, đậu trái kém.","Không nêu cụ thể. Thực hiện các biện pháp phòng trừ chung: không trồng quá dày, tỉa cành, bón phân cân đối, phun thuốc phòng trừ định kỳ, thăm vườn thường xuyên."
Sầu riêng,Nấm hồng,"Không nêu cụ thể, xuất hiện và lây lan nhanh trong điều kiện thời tiết mưa nhiều, độ ẩm kéo dài.","Các dấu hiệu chung của cây bị bệnh như lá có màu sắc khác lạ, xuất hiện đốm bất thường, ra hoa ít, đậu trái kém.","Không nêu cụ thể. Thực hiện các biện pháp phòng trừ chung: không trồng quá dày, tỉa cành, bón phân cân đối, phun thuốc phòng trừ định kỳ, thăm vườn thường xuyên."
Cây bưởi,Bệnh loét,Không được đề cập cụ thể trong bài viết.,"Lá xuất hiện nhiều vết màu nâu, hình tròn lốm đốm hoặc dày đặc. Trên bề mặt của vết bệnh trông sần sùi như bệnh ghẻ lở, thường có màu vàng hoặc nâu. Nếu cành có nhiều vết loét sẽ bị khô và chết, quả có thể bị rụng.","Phun Boocdo 1% (15 gr sunphat đồng với 20 gr vôi tôi hoặc 20 lít nước), hoặc Kocide 53.8 DF."
Cây bưởi,Bệnh sẹo,Không được đề cập cụ thể trong bài viết.,"Lá và quả có nhiều nốt nổi gồ ghề, thường có màu nâu. Các vết bệnh sẹo nếu tạo thành mảng lớn sẽ khiến lá bị biến dạng, nhăn nheo, cây sinh trưởng kém và trở nên cằn cỗi.","Phun định kỳ các loại thuốc như Kocide53.8 DF, Kasuran 0,2%, Mancozeb 0,2%. Cần thường xuyên cắt bỏ, tiêu hủy những bộ phận của cây đã bị nhiễm bệnh."
Cây bưởi,Bệnh chảy gôm,Không được đề cập cụ thể trong bài viết.,"Bệnh phát sinh từ phần gốc, được tính từ mặt đất xuống cổ rễ và phần rễ từ 20 – 30 cm. Trong giai đoạn đầu, vỏ cây thường sẽ bị nứt và chảy nhựa (chảy gôm). Khi bóc lớp vỏ này ra, phần gỗ bên trong sẽ có màu xám với các mạch sợi đen hoặc nâu chạy dọc theo thớ gỗ.","Nếu cây bị bệnh nhẹ: dùng Aliette 800 WP nồng độ 0,3% phun lên toàn bộ cây. Trong trường hợp cây xuất hiện vết hại cục bộ ở phần thân gốc: tiến hành cạo sạch rồi dùng Aliette 800 WP 0,5% quét lên vết bệnh."
